age,priors_count,days_b_screening_arrest,c_jail_time,juv_fel_count,juv_other_count,juv_misd_count,c_charge_degree:F,c_charge_degree:M,race:African-American,race:Asian,race:Caucasian,race:Hispanic,race:Native_American,race:Other,age_cat:25_-_45,age_cat:Greater_than_45,age_cat:Less_than_25,sex:Female,sex:Male,is_recid
69,0,-1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0
34,0,-1.0,10.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
24,4,-1.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
44,0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
41,14,-1.0,6.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
43,3,-1.0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0
39,0,-1.0,2.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
27,0,-1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
23,3,0.0,4.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1
37,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
41,0,-1.0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
47,1,-20.0,14.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
31,7,22.0,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
37,0,0.0,0.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
25,3,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
31,6,-1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
31,5,-1.0,1.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
64,13,-1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
21,1,-1.0,3.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1
27,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1
21,0,-2.0,1.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
24,1,0.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1
43,1,-1.0,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
32,0,-1.0,1.0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
27,8,-1.0,17.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
26,5,-1.0,0.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
33,0,0.0,37.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1
